CommonName,bID,GenBankID,OMV.Trial1,OMV.Trial2,OMV.Trial3,OMV.Trial4,OMV.Trial5,average.log.OMV,antilog.OMV.Trial1,antilog.OMV.Trial2,antilog.OMV.Trial3,antilog.OMV.Trial4,antilog.OMV.Trial5,average.antilog.omv,stdev.antilog
ynaA,b1368,947543,-0.02601612,-0.359697402,NA,NA,NA,-0.192856761,0.941854636,0.436820084,,,,0.68933736,0.357113357
stfR,b1372,945207,-0.121541558,0.070205371,NA,NA,NA,-0.025668094,0.755889725,1.175453277,,,,0.965671501,0.296676233
tfaR,b1373,946062,0.081648835,0.103137699,NA,NA,NA,0.092393267,1.206837607,1.268053856,,,,1.237445731,0.043286425
pinR,b1374,948973,-0.088851675,0,NA,NA,NA,-0.044425838,0.814982578,1,,,,0.907491289,0.130827074
ynaE,b1375,946078,-0.239524062,0.637708112,0.207756538,NA,NA,0.201980196,0.576070901,4.342182893,1.613453814,,,2.177235869,1.945324533
uspF,b1376,945948,-0.234603631,0.079090872,NA,NA,NA,-0.07775638,0.58263473,1.199750313,,,,0.891192522,0.436366613
ompN,b1377,946313,-0.028703713,0.014917938,NA,NA,NA,-0.006892888,0.93604405,1.03494659,,,,0.98549532,0.069934657
ydbK,b1378,946587,0.311799126,0.048067871,NA,NA,NA,0.179933499,2.050213675,1.117037803,,,,1.583625739,0.659854987
hslJ,b1379,946525,0.09318214,0.024060731,NA,NA,NA,0.058621436,1.239316238,1.056965303,,,,1.148140771,0.128941583
ldhA,b1380,946315,0.201093528,0.199160446,NA,NA,NA,0.200126987,1.588888889,1.581832324,,,,1.585360607,0.004989745
ydbH,b1381,945949,-0.335792102,0.03716795,NA,NA,NA,-0.149312076,0.461538461,1.089351285,,,,0.775444873,0.443930705
ynbE,b1382,945946,-0.055629825,0.099771058,NA,NA,NA,0.022070617,0.879772079,1.258261934,,,,1.069017006,0.267632742
